Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD];TA6 [mOD];TA7 [mOD];TA8 [mOD]
2250;0.885215;-0.058168;-0.279248;0.729090;-0.047729;0.353537;0.461895;-0.178899
2260;-0.382524;-0.314461;-0.641800;-0.113332;0.151267;1.100010;-0.213418;0.539892
2270;-0.735343;-0.354976;-0.795367;0.806946;1.315409;0.522620;0.807896;-0.456969
2280;-1.380836;-0.760716;-0.425740;-0.458808;-0.859104;-0.932642;-0.032323;0.252536
2290;-0.117023;-0.187785;-1.364639;-0.216091;0.599186;-0.101660;0.035296;-0.235117
2300;-0.621210;0.363853;0.711423;-0.957684;-0.028207;-0.715483;-1.240201;-0.248102
2310;-0.471180;-0.325943;-0.392074;-0.664561;-0.059165;-0.167826;0.929635;-0.480941
2320;0.484423;-0.419526;-0.407325;0.471546;-0.255948;-0.100731;0.421059;1.513619
2330;-0.705460;-0.238434;0.028747;0.289545;0.185022;0.041268;-0.459877;0.650760
2340;0.032897;0.211546;0.050516;0.976453;1.072220;-0.459836;0.418351;0.892109
2350;-0.654745;-0.494848;-0.496271;0.300932;0.320094;-0.522933;0.027153;0.244506
2360;-0.041723;-0.261737;0.225877;0.144546;0.206223;-0.260804;-0.582052;1.093990
2370;0.483013;-0.201977;-0.342121;0.201956;-0.087634;1.393863;0.595705;-0.935326
2380;0.401850;-0.094573;-0.121982;-0.132401;-0.205553;1.650581;0.194952;1.223959
2390;1.009388;-0.198430;-0.044097;0.550595;-0.130167;-0.530663;-0.365065;-0.331724
